product_id,name,price_text,price,sold_text,sold_est,rating_text,reviews_text,product_url
438,Omilay Astaxanthin Gummy อุดมไปด้วย วิตามินซี การสนับสนุน หัวใจ สุขภาพ บำรุงผิว Astaxanthin 6MG วิตามิน อาหารเสริม Mango Flavor Vegan Gummies 60เม็ด,฿189.00,189,(0)กรุงเทพมหานคร,0,,,https://www.lazada.co.th/products/pdp-i5749156874.html
750,[พร้อมส่ง + แท้100% + เก็บเงินปลายทางได้] Vistra Astaxanthin 4mg 30 เม็ด วิสทร้า แอสตาแซนธิน 4 มก. ด้วยสารชะลอวัยกับสาหร่ายสีแดงเกรดพรีเมี่ยมจากประเทศญี่ปุ่น,฿419.00,419,(0)นครราชสีมา,0,,,https://www.lazada.co.th/products/pdp-i207862060.html
949,Red Diamond Astaxanthin 1 กระปุก แอสต้าแซนริน พลัส บำรุงสายตา บำรุงผิวพรรณ ลดเลือนริ้วรอย ช่วยให้ผิวมีความเรียบเนียนชุ่มชื้น,฿399.00,399,(0)ขอนแก่น,0,,,https://www.lazada.co.th/products/pdp-i5519199080.html
1313,BioActive+Conentrated Liquid Asta Drink Astaxanthin รสชาติ ฟรุตพั้นซ์ คอลลาเจน ลิขวิด แอสต้า ดริ้งค์,"฿1,990.00",1990,(0)เชียงราย,0,,,https://www.lazada.co.th/products/pdp-i5840798887.html
26,แอสตาแซนธิน - ดูดซึมได้สูง - การเผาผลาญและสุขภาพสมอง - แคปซูลมังสวิรัติ,฿165.45,165.45,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5747083330.html
54,30/60/120 แคปซูล แอสตาแซนธิน + ไลโคปีน - เพิ่มประสิทธิภาพการเผาผลาญ เร่งการเผาผลาญ และปรับปรุงการไหลเวียนโลหิต,฿83.50,83.5,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5829973404.html
123,แอสทาแคริน - บำรุงสุขภาพหัวใจและหลอดเลือด - ระบบโลหิตหมุนเวียนดีขึ้น - 30/60/120 แคปซูล,฿162.00,162,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5796019671.html
139,อาหารเสริมแอสตาแซนธิน Tecepec ประกอบด้วยแอสตาแซนธิน 4 มก. + ฟอสโฟลิปิด 84 มก. สูตรเฉพาะ ช่วยให้หลอดเลือดไม่ติดขัดและบรรเทาอาการเมื่อยล้าของดวงตา,฿140.27,140.27,(1)ลำพูน,1,,,https://www.lazada.co.th/products/pdp-i5816636325.html
146,Tecepec Astaxanthin 4 มก. ส่งเสริมการฟื้นฟูการทำงานของดวงตา เส้นประสาท กล้ามเนื้อ ระบบหัวใจและหลอดเลือด และภูมิคุ้มกัน,฿155.00,155,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5617913214.html
151,COOLKIN Astaxanthin Elite 120 เม็ด | ช่วยเพิ่มความทนทานในการออกกำลังกายและป้องกันรังสียูวี,฿45.00,45,(1)เชียงใหม่,1,,,https://www.lazada.co.th/products/pdp-i5852433118.html
198,"Astaxanthin, Extra Strength 10 mg Softgels",฿594.00,594,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5747375091.html
249,"California Gold Nutrition, Astaxanthin 12 mg, 30 Veggie Softgels",฿520.00,520,(1)ชลบุรี,1,,,https://www.lazada.co.th/products/pdp-i4875220713.html
261,สบู่ดารา astaxanthin x5 soap ขนาด 60 กรัม พร้อมทุกตีฟอง,฿89.00,89,(1)นนทบุรี,1,,,https://www.lazada.co.th/products/pdp-i5791884836.html
280,Ozmolts Astaxanthin Gummies แอสตาแซนธิน อาหารเสริม บำรุงผิว Skin Care ส่งเสริมสุขภาพผิว บำรุงสายตา Diet Supplement 60 ลูกอมอ่อน Mango Flavor,฿442.86,442.86,(1)ปทุมธานี,1,,,https://www.lazada.co.th/products/pdp-i5752842612.html
306,Tecepec Astaxanthin & Phospholipids - 4 มก. สูตรบำรุงสายตา สมดุลการไหลเวียนโลหิต สุขภาพหัวใจและหลอดเลือด,฿138.69,138.69,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5693107884.html
317,เซรั่มบำรุงผิว XiXi แอสตาแซนธินเซรั่มเพิ่มความกระจ่างใสสีผิวเซรั่มเพื่อความชุ่มชื้นเซรั่มผิวหน้า,฿18.00,18,(1)China,1,,,https://www.lazada.co.th/products/pdp-i5788126110.html
321,"Xemenry Astaxanthin 24mg, 120 เม็ดเจล (ความเข้มข้นสูงสุดจากสาหร่ายขนาดเล็ก) สารต้านอนุมูลอิสระจากธรรมชาติเพื่อสุขภาพผิวและดวงตา",฿166.89,166.89,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5758667521.html
352,ของแท้💯พิมรี่พาย ครีมดารา แอสตร้าแซนทีน รีบูต เอ็กซ์ไฟว์ พลัส Astaxanthin Reboot X5 Plus สูตรใหม่‼️30 กรัม‼️พร้อมส่ง,฿198.00,198,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5761193821.html
360,Omilay Astaxantin แอสตาแซนธิน Astaxanthin 6 mg เนเชอรัล แอสตาแซนธิน Axtaxanthin Gummy ผลิตภัณฑ์เสริมอาหาร Mango 60 เม็ด,฿379.00,379,(1)ขอนแก่น,1,,,https://www.lazada.co.th/products/pdp-i5749714455.html
419,double wood - Astaxanthin,"฿1,500.00",1500,(1)ประจวบคีรีขันธ์,1,,,https://www.lazada.co.th/products/pdp-i4213883249.html
429,┃สินค้าแท้มีบัตร┃💖 Astra Q10 Aglam อะแกรม แอสต้า ฝ้า กระ ผิวขาว อ่อนเยาว์ ขาว คิวเท็น อาหารเสริม งาม,฿179.00,179,(1)ชลบุรี,1,,,https://www.lazada.co.th/products/pdp-i5787779669.html
454,Astraxanthin 6 mg. แอสตาแซนธิน มีบุตรยาก อายุมาก อยากมีบุตร เซลล์ไข่เสื่อม ไข่เสื่อม สเปิร์มเสื่อม แอสตาแซนทีน แอสต้าแซนธิน แอสตาแซนทิน astaxanthin แอสตาแซนธีน,฿390.00,390,(1)ยะลา,1,,,https://www.lazada.co.th/products/pdp-i4817424164.html
487,GIK Astaxanthin Repair Essential Mask 35ml,฿29.00,29,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5733925225.html
500,แคปซูล Xemenry Astaxanthin ส่งเสริมสุขภาพผิวและดวงตา ฤทธิ์ต้านอนุมูลอิสระ บำรุงสุขภาพหัวใจและหลอดเลือดและความจำ,฿176.09,176.09,(1)China,1,,,https://www.lazada.co.th/products/pdp-i5775764997.html
519,"NatureBell Astaxanthin 12mg, 240 Softgels","฿2,000.00",2000,(1)ประจวบคีรีขันธ์,1,,,https://www.lazada.co.th/products/pdp-i4955958744.html
